CIDADE,ESTADO,QUANTIDADE_DE_INDICACOES,LAT,LON
BARRA DO GARCAS,MATO GROSSO         ,5,-15.8916033,-52.2615413
BARRA DO MENDES,BAHIA               ,1,-11.8053298,-42.057037
BARRA DO PIRAI,RIO DE JANEIRO      ,6,-22.4242692,-43.8935244
BARRA MANSA,RIO DE JANEIRO      ,28,-22.4852784,-44.19707
BARRA VELHA,SANTA CATARINA,2,-26.6338203,-48.6835001
BARRETOS,SAO PAULO           ,2,-20.5531437,-48.5697509
BARRO,CEARA               ,4,-7.1713587,-38.7742136
BARROSO,MINAS GERAIS        ,12,-21.187137,-43.9771259
BARUERI,SAO PAULO           ,32,-23.5112184,-46.8764612
BASTOS,SAO PAULO           ,5,-21.9222474,-50.7317727
BATALHA,ALAGOAS             ,1,-9.6733809,-37.1265481
BATATAIS,SAO PAULO           ,1,-20.892867,-47.592149
BAURU,SAO PAULO           ,23,-22.3218102,-49.0705863
BAYEUX,PARAIBA             ,2,-7.1301631,-34.936532
BEBEDOURO,SAO PAULO           ,5,-20.949077,-48.479083
BELA VISTA DE MINAS,MINAS GERAIS        ,1,-19.8289721,-43.0973688
BELEM,ALAGOAS             ,2,-9.5715351,-36.492841
BELEM,PARA                ,24,-1.45056,-48.4682453
BELFORD ROXO,RIO DE JANEIRO      ,9,-22.7667284,-43.4033603
BELO CAMPO,BAHIA               ,1,-15.0338286,-41.2585109
BELO HORIZONTE,MINAS GERAIS        ,309,-19.9227318,-43.9450948
BELO JARDIM,PERNAMBUCO          ,1,-8.3338293,-36.4176419
BELO VALE,MINAS GERAIS        ,1,-20.407778,-44.024167
BENEDITINOS,PIAUI               ,2,-5.5144956,-42.3713028
BENEDITO NOVO,SANTA CATARINA,2,-26.7840657,-49.3629511
BENTO GONCALVES,RIO GRANDE DO SUL,9,-29.1654014,-51.5197627
BERNARDINO DE CAMPOS,SAO PAULO           ,3,-23.0140216,-49.4760724
BERTIOGA,SAO PAULO           ,5,-23.848568,-46.139586
BETIM,MINAS GERAIS        ,42,-19.9475338,-44.1995361
BEZERROS,PERNAMBUCO          ,2,-8.2372132,-35.7558262
BIAS FORTES,MINAS GERAIS        ,1,-21.605833,-43.756944
BICAS,MINAS GERAIS        ,1,-21.7213723,-43.0604327
BIGUACU,SANTA CATARINA,4,-27.4961277,-48.6542432
BIRIGUI,SAO PAULO           ,5,-21.2908491,-50.34144
BIRITIBA MIRIM,SAO PAULO           ,1,-23.5697765,-46.0407456
BITURUNA,PARANA,4,-26.161281,-51.5533319
BLUMENAU,SANTA CATARINA,5,-26.9195567,-49.0658025
BOA ESPERANCA,ESPIRITO SANTO      ,1,-18.5395472,-40.2904088
BOA ESPERANCA,MINAS GERAIS        ,8,-21.0901253,-45.5660195
BOA ESPERANCA,PARANA,1,-24.2411024,-52.7860277
BOA ESPERANCA DO SUL,SAO PAULO           ,3,-21.9930206,-48.3917372
BOA VENTURA DE SAO ROQUE,PARANA,1,-24.88177,-51.5441292
BOA VISTA,RORAIMA             ,4,2.8208478,-60.6719582
BOCAINA,SAO PAULO           ,1,-22.1421831,-48.522276
BOCAIUVA DO SUL,PARANA,2,-25.206591,-49.114131
BODOQUENA,MATO GROSSO DO SUL  ,1,-20.5508775,-56.6769653
BOITUVA,SAO PAULO           ,16,-23.2838893,-47.6738231
BOM CONSELHO,PERNAMBUCO          ,1,-9.169191,-36.685683
BOM DESPACHO,MINAS GERAIS        ,16,-19.7375242,-45.2517288
BOM JARDIM DA SERRA,SANTA CATARINA,1,-28.3380324,-49.625588
BOM JARDIM DE MINAS,MINAS GERAIS        ,6,-21.9476508,-44.1905987
BOM JESUS,RIO GRANDE DO SUL,2,-28.6692723,-50.4346894
BOM JESUS DO AMPARO,MINAS GERAIS        ,1,-19.7045132,-43.4752911
BOM JESUS DO GALHO,MINAS GERAIS        ,3,-19.8283191,-42.3162256
BOM JESUS DO ITABAPOANA,RIO DE JANEIRO      ,9,-21.090552,-41.7808736
BOM JESUS DOS PERDOES,SAO PAULO           ,7,-23.1353864,-46.4648052
BOM REPOUSO,MINAS GERAIS        ,13,-22.4657069,-46.1485376
BOM SUCESSO,MINAS GERAIS        ,15,-21.0323516,-44.7598082
BONINAL,BAHIA               ,1,-12.7095183,-41.8299984
BONITO DE MINAS,MINAS GERAIS        ,1,-15.3231001,-44.7572539
BORA,SAO PAULO           ,1,-22.2703347,-50.5442675
BORBOREMA,SAO PAULO           ,1,-21.6212706,-49.074135
BORDA DA MATA,MINAS GERAIS        ,2,-22.274167,-46.165278
BOTELHOS,MINAS GERAIS        ,4,-21.6500058,-46.3947355
BOTUCATU,SAO PAULO           ,10,-22.8879628,-48.4410712
BOTUVERA,SANTA CATARINA,2,-27.1990695,-49.0726471
BRACO DO NORTE,SANTA CATARINA,6,-28.2728633,-49.1622712
BRAGANCA PAULISTA,SAO PAULO           ,23,-22.9520235,-46.5418586
BRAS PIRES,MINAS GERAIS        ,2,-20.8483109,-43.2430524
BRASILANDIA,MATO GROSSO DO SUL  ,2,-21.255575,-52.0365617
BRASILANDIA DO SUL,PARANA,6,-24.1975793,-53.527551
BRASILIA DE MINAS,MINAS GERAIS        ,4,-16.2075114,-44.430559
BRASNORTE,MATO GROSSO         ,6,-12.1218837,-58.0042714
BREJETUBA,ESPIRITO SANTO      ,1,-20.1465817,-41.2902303
BREJOLANDIA,BAHIA               ,2,-12.4843845,-43.9611861
BRODOWSKI,SAO PAULO           ,1,-20.9862299,-47.6578768
BRUMADINHO,MINAS GERAIS        ,7,-20.143611,-44.2
BRUMADO,BAHIA               ,16,-14.2025099,-41.6701307
BRUNOPOLIS,SANTA CATARINA,2,-27.310953,-50.837585
BRUSQUE,SANTA CATARINA,19,-27.0964628,-48.9136323
BUENO BRANDAO,MINAS GERAIS        ,3,-22.441421,-46.3475825
BUENOPOLIS,MINAS GERAIS        ,2,-17.8756607,-44.1749365
BUERAREMA,BAHIA               ,1,-14.9584826,-39.3010861
BUIQUE,PERNAMBUCO          ,3,-8.6239732,-37.157296
BURITIZEIRO,MINAS GERAIS        ,1,-17.3667765,-44.9647781
CABECEIRA GRANDE,MINAS GERAIS        ,3,-16.0297,-47.0906
CABEDELO,PARAIBA             ,5,-6.97324,-34.8351609
CABO FRIO,RIO DE JANEIRO      ,4,-22.7378309,-42.0240869
CABREUVA,SAO PAULO           ,6,-23.3076663,-47.1324726
CABROBO,PERNAMBUCO          ,3,-8.5083701,-39.3106961
CACADOR,SANTA CATARINA,4,-26.7737784,-51.0134844
CACAPAVA,SAO PAULO           ,21,-23.099204,-45.707645
CACAPAVA DO SUL,RIO GRANDE DO SUL,1,-30.5113286,-53.4916761
CACEQUI,RIO GRANDE DO SUL,2,-29.8838059,-54.8273443
CACERES,MATO GROSSO         ,7,-16.0644068,-57.6878972
CACHOEIRA DE MINAS,MINAS GERAIS        ,1,-22.3554043,-45.7796324
CACHOEIRA DO SUL,RIO GRANDE DO SUL,4,-30.0482234,-52.8901686
